false_gods,true_gods,random_gods,expected_questions,status,independent_replications,notes,version,reproduce_command
0,2,1,2.0,optimal,0,,,
1,1,1,3.0,optimal,0,,,
0,3,1,2.375,optimal,0,,,
1,2,1,3.916667,optimal,0,,,
0,4,1,2.6,optimal,0,,,
1,3,1,4.6,optimal,2,,0.17.11,./hardest -f 1 -t 3 -r 1 -i 0 -b 0 -v -l 1.01 -s 1775322678 -i 0 -u 4.5999999999999996 -M 1 -a 1.02 -e 1.01
2,2,1,5.133333,optimal,0,,,
0,3,2,4.13750,conjectured,12,,0.17.11,./hardest -v -f 0 -t 3 -r 2 -i 0 -b 0 -l 1.01 -s 1775322390 -i 0 -u 4.1374999999999993 -M 1 -a 1.02 -e 1.01
1,2,2,5.683333,conjectured,263,,0.17.12,./hardest -f 1 -t 2 -r 2 -b 12 -i 299 -a 1.01221 -e 1.0122 -K 1930 -S 6 -z -99 -U 2 -s 14550171665027949436 -i 0 -u 5.6833330000000002 -M 1 -a 1.0122100000000001 -e 1.0122
0,5,1,2.833333,optimal,0,,,
1,4,1,5.1,optimal,0,,,
2,3,1,6.1,optimal,0,,,
0,4,2,4.4,conjectured,49,,0.17.4,./hardest -f 0 -t 4 -r 2 -b 1 -i 99 -l 1.01 -s 1582944258698908516 -i 0 -u 4.4000000000000004 -M 1 -a 1.0088325067967818 -e 0.99883250679678248
1,3,2,6.4,conjectured,21,,0.16.21,./hardest -f 1 -t 3 -r 2 -b 7 -i 99 -a 1.2 -e 1.1 -S 7 -l 1.01 -s 2502127849918256160 -i 0 -u 6.4000000000000004 -M 1
2,2,2,7.055556,conjectured,24,,0.16.21,./hardest -f 2 -t 2 -r 2 -b 5 -i 499 -a 1.01 -e 1.006 -S 7 -l 1.01 -s 360892645354047932 -i 0 -u 7.0555559999999993 -M 1
0,6,1,3.0,optimal,0,,,
1,5,1,5.619048,optimal,0,,,
2,4,1,6.923810,optimal,0,,,
3,3,1,7.314286,optimal,0,,,
0,5,2,4.904762,conjectured,366,,0.16.21,./hardest -f 0 -t 5 -r 2 -b 5 -i 9 -a 1.01 -e 1.006 -S 7 -l 1.01 -s 1774675955 -i 0 -u 4.9047620000000007 -M 1
1,4,2,7.161905,conjectured,271,,0.17.3,./hardest -f 1 -t 4 -r 2 -b 2 -i 99 -a 1.002 -e 1.0015 -S 7 -K 900 -l 1.01 -s 12168957197995548440 -i 0 -u 7.1619049999999991 -M 1 -a 0.99940000000000395 -e 0.99890000000000367
2,3,2,8.161905,upper_bound,15,,0.16.21,./hardest -f 2 -t 3 -r 2 -b 4 -i 99999 -S 8 -a 1.008 -e 1.006 -l 1.01 -s 8896322917141490951 -i 0 -u 8.1619049999999991 -M 1
0,4,3,6.232143,upper_bound,5,,0.16.21,./hardest -f 0 -t 4 -r 3 -b 4 -i 9999 -a 1.007 -e 1.005 -H 1 -l 1.01 -s 17226074341451392359 -i 0 -u 6.2321430000000007 -M 1
1,3,3,8.362723,upper_bound,0,,0.16.21,./hardest -f 1 -t 3 -r 3 -b 4 -i 9999 -S 8 -a 1.008 -e 1.006 -l 1.01 -s 17666102127928822368 -i 0 -u 8.3729910714285722 -M 1
2,2,3,8.963690,upper_bound,0,,0.17.11,./hardest -f 2 -t 2 -r 3 -b 4 -i 999 -a 1.00001 -e 1.00 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 6179805106105280146 -i 0 -u 8.9940099999999994 -M 1 -a 1.0000100000000001 -e 1
0,7,1,3.1875,optimal,0,,,
1,6,1,5.982143,optimal,0,,,
2,5,1,7.601190,optimal,0,,,
3,4,1,8.296429,optimal,0,,,
0,6,2,5.178571,conjectured,32,,0.16.21,./hardest -f 0 -t 6 -r 2 -b 5 -i 9 -a 1.01 -e 1.006 -S 7 -l 1.01 -s 1774676296 -i 0 -u 5.1785709999999998 -M 1
1,5,2,7.833333,conjectured,10,,0.16.21,./hardest -f 1 -t 5 -r 2 -b 5 -i 99 -a 1.004 -e 1.002 -S 7 -l 1.01 -s 7769033206500074032 -i 0 -u 7.8333330000000005 -M 1
2,4,2,9.109524,upper_bound,13,,0.16.21,./hardest -f 2 -t 4 -r 2 -b 3 -i 49999 -a 1.003 -e 1.0011 -H 1 -l 1.01 -s 10312760066039537198 -i 0 -u 9.1095240000000004 -M 1
3,3,2,9.535714,upper_bound,1,,0.16.21,./hardest -f 3 -t 3 -r 2 -b 3 -i 99999 -a 1.004 -e 1.0029 -S 8 -l 1.01 -s 12957261977808383268 -i 0 -u 9.5357140000000005 -M 1
0,5,3,6.571429,upper_bound,11,,0.17.11,./hardest -f 0 -t 5 -r 3 -b 9 -i 999 -a 1.00261 -e 1.0026 -K 1960 -S 7 -z -99 -U 2 -l 1.01 -s 10831526983609196082 -i 0 -u 6.5714290000000011 -M 1 -a 1.00261 -e 1.0025999999999999
1,4,3,9.056696,upper_bound,0,,0.16.21,./hardest -f 1 -t 4 -r 3 -b 4 -i 999 -a 1.0055 -e 1.0045 -S 8 -l 1.01 -s 16347247553216995980 -i 0 -u 9.0584820000000015 -M 1
2,3,3,10.084598,upper_bound,0,,0.16.21,./hardest -f 2 -t 3 -r 3 -b 4 -i 999 -a 1.002 -e 1.001 -H 1 -S 7 -l 1.01 -s 9147426154713785432 -i 0 -u 10.087276785714286 -M 1
0,8,1,3.333333,optimal,0,,,
1,7,1,6.333333,optimal,0,,,
2,6,1,8.095238,optimal,0,,,
3,5,1,9.095238,optimal,0,,,
4,4,1,9.485714,optimal,0,,,
0,7,2,5.527778,conjectured,27,,0.16.21,./hardest -f 0 -t 7 -r 2 -b 5 -i 9 -a 1.004 -e 1.002 -S 7 -l 1.01 -s 1774676508 -i 0 -u 5.5277779999999996 -M 1
1,6,2,8.273810,likely,10,,0.16.21,./hardest -f 1 -t 6 -r 2 -b 2 -i 99999 -a 1.009 -e 1.006 -S 8 -l 1.01 -s 10268052476227650483 -i 0 -u 8.2738099999999992 -M 1
2,5,2,9.957672,upper_bound,1,,0.16.21,./hardest -f 2 -t 5 -r 2 -b 5 -i 9999 -a 1.002 -e 1.001 -l 1.01 -s 11087734524490057464 -i 0 -u 9.9576720000000005 -M 1
3,4,2,10.692857,upper_bound,1,,0.16.21,./hardest -f 3 -t 4 -r 2 -b 4 -i 999 -a 1.0000025 -e 1.000001 -H 1 -S 8 -l 1.01 -s 4669822242633802088 -i 0 -u 10.692857 -M 1
0,6,3,7.059524,likely,15,,0.16.21,./hardest -f 0 -t 6 -r 3 -b 2 -i 9999 -a 1.01 -e 1.006 -S 8 -l 1.01 -s 7297467410632092052 -i 0 -u 7.0595239999999997 -M 1
1,5,3,9.717262,upper_bound,0,,0.16.21,./hardest -f 1 -t 5 -r 3 -b 6 -i 99 -a 1.0065 -e 1.0054 -S 7 -l 1.01 -s 3578719917679617600 -i 0 -u 9.7212299999999985 -M 1
2,4,3,11.076290,upper_bound,0,,0.16.21,./hardest -f 2 -t 4 -r 3 -b 3 -i 999 -a 1.0025 -e 1.001 -H 1 -S 8 -l 1.01 -s 9895850107298783312 -i 0 -u 11.076984000000001 -M 1
3,3,3,11.433482,upper_bound,0,,0.16.21,./hardest -f 3 -t 3 -r 3 -b 4 -i 9999 -a 1.002 -e 1.001 -S 8 -l 1.01 -s 7506418152016770340 -i 0 -u 11.443452380952381 -M 1
0,5,4,8.470703,upper_bound,0,,0.15.5,./hardest -f 0 -t 5 -r 4 -b 4 -B 0:5 -H 1 -S 7 -a 1.02 -e 1.01 -u 8.37 -i 50 -l 1.01 -s 3387689341141999424 -i 0
1,4,4,11.057425,upper_bound,0,,0.15.5,./hardest -f 1 -t 4 -r 4 -b 2 -B 0:2 -H 1 -S 7 -a 1.02 -e 1.01 -u 10.647 -i 50 -k 6 -l 1.01 -s 4556814118304299227 -i 0
2,3,4,12.132411,upper_bound,0,,0.16.21,./hardest -f 2 -t 3 -r 4 -b 1 -i 9 -a 1.000002 -e 1.000001 -S 8 -H 1 -l 1.01 -s 5459537353718225121 -i 0 -u 12.136674999999999 -M 1
0,9,1,3.5,optimal,0,,,
1,8,1,6.677778,optimal,0,,,
2,7,1,8.677778,optimal,0,,,
3,6,1,9.880952,optimal,0,,,
4,5,1,10.474603,optimal,0,,,
0,8,2,5.844444,conjectured,876,,0.16.21,./hardest -f 0 -t 8 -r 2 -b 8 -i 999 -a 1.01 -e 1.006 -S 7 -l 1.01 -s 15863322080627108360 -i 0 -u 5.8444439999999993 -M 1
1,7,2,8.844444,likely,31,,0.16.21,./hardest -f 1 -t 7 -r 2 -b 8 -i 999 -a 1.01 -e 1.004 -S 7 -l 1.01 -s 16256045503780511934 -i 0 -u 8.8444440000000011 -M 1
2,6,2,10.650000,upper_bound,5,,0.16.21,./hardest -f 2 -t 6 -r 2 -b 3 -i 999 -a 1.002 -e 1.001 -S 8 -H 1 -l 1.01 -s 18028971935797691478 -i 0 -u 10.65 -M 1
3,5,2,11.653175,upper_bound,0,,0.16.21,./hardest -f 3 -t 5 -r 2 -b 2 -i 999 -a 1.00002 -e 1.00001 -S 7 -H 1 -l 1.01 -s 4386518397206986393 -i 0 -u 11.654364999999999 -M 1
4,4,2,11.978095,upper_bound,1,,0.16.21,./hardest -f 4 -t 4 -r 2 -b 2 -i 9999 -a 1.000002 -e 1.000001 -S 7 -H 1 -l 1.01 -s 2151721692253075810 -i 0 -u 11.978095 -M 1
0,7,3,7.425000,likely,10,,0.16.21,./hardest -f 0 -t 7 -r 3 -b 2 -i 9999 -a 1.01 -e 1.006 -S 8 -l 1.01 -s 621316211043537596 -i 0 -u 7.4249999999999998 -M 1
1,6,3,10.297024,upper_bound,0,,0.17.11,./hardest -f 1 -t 6 -r 3 -b 9 -i 9999 -a 1.0015 -e 1.00143 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 14574204646184991116 -i 0 -u 10.298809999999998 -M 1 -a 1.0014999999999998 -e 1.0014299999999998
2,5,3,12.000694,upper_bound,0,,0.17.11,./hardest -f 2 -t 5 -r 3 -b 5 -i 999 -a 1.00086 -e 1.00081 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 2057244056512433272 -i 0 -u 12.000992 -M 1 -a 1.0008599999999999 -e 1.00081
3,4,3,12.698095,upper_bound,0,,0.16.21,./hardest -f 3 -t 4 -r 3 -b 4 -i 99 -a 1.009 -e 1.0019 -S 7 -H 0 -l 1.01 -s 12835158493251781975 -i 0 -u 12.698928999999998 -M 1
